Sort order,Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Latitude_masked,Longitude_masked,Neighborhood,
797,Maia,Basenji Mix,"(42.3889145, -71.12708713)","42.3889145,",42.3889145,-71.12708713,North Cambridge,
1864,Willy,Labraddoodle,"(42.3888139, -71.13338478)","42.3888139,",42.3888139,-71.13338478,Neighborhood Nine,
3045,Wanda,Pit Bull,"(42.3887892, -71.11956078)","42.3887892,",42.3887892,-71.11956078,North Cambridge,
5029,Mochi,French Bulldog,"(42.3885041, -71.12192867)","42.3885041,",42.3885041,-71.12192867,North Cambridge,
3485,Coco,Chihuahua,"(42.3881904, -71.12814166)","42.3881904,",42.3881904,-71.12814166,Neighborhood Nine,
1498,Destin,Labrador Retriever,"(42.3881891, -71.13072873)","42.3881891,",42.3881891,-71.13072873,Neighborhood Nine,
1309,Willits,Labrador Retriever,"(42.3880704, -71.12912612)","42.3880704,",42.3880704,-71.12912612,Neighborhood Nine,
1133,Bellina,Italian Grey Hound,"(42.3877829, -71.1296515)","42.3877829,",42.3877829,-71.1296515,Neighborhood Nine,
1085,Roxy,Chihuahua,"(42.3875018, -71.13011509)","42.3875018,",42.3875018,-71.13011509,Neighborhood Nine,
4607,Diamond,Rottweiler,"(42.3874966, -71.12023687)","42.3874966,",42.3874966,-71.12023687,Neighborhood Nine,
2554,Niko,Rottiweiler,"(42.3874457, -71.12671304)","42.3874457,",42.3874457,-71.12671304,Neighborhood Nine,
3765,Easy,Labrador Collie Mix,"(42.3873417, -71.12978238)","42.3873417,",42.3873417,-71.12978238,Neighborhood Nine,
898,Magic,Golden Retriever,"(42.3873285, -71.1314648)","42.3873285,",42.3873285,-71.1314648,Neighborhood Nine,
2633,Bailey,Hound,"(42.3872839, -71.13851729)","42.3872839,",42.3872839,-71.13851729,Neighborhood Nine,
1401,Pepper,Bulldog/Pug Mix,"(42.3872407, -71.14361867)","42.3872407,",42.3872407,-71.14361867,Cambridge Highlands,
1184,Lucie,Golden Retriever,"(42.3865018, -71.13249918)","42.3865018,",42.3865018,-71.13249918,Neighborhood Nine,
4898,Iggy,Beagle,"(42.3864488, -71.13139394)","42.3864488,",42.3864488,-71.13139394,Neighborhood Nine,
2137,Lucca,Flat Coated Retriever,"(42.3864363, -71.12754307)","42.3864363,",42.3864363,-71.12754307,Neighborhood Nine,
4850,Marsh,Golden Retriever,"(42.3863187, -71.13302255)","42.3863187,",42.3863187,-71.13302255,Neighborhood Nine,
1155,Theo,Portuguese Water Dog,"(42.3862886, -71.12279243)","42.3862886,",42.3862886,-71.12279243,Neighborhood Nine,
4520,Gracie,Sheltie,"(42.3862285, -71.12930787)","42.3862285,",42.3862285,-71.12930787,Neighborhood Nine,
493,Teddy,Miniature Poodle,"(42.3861788, -71.12089606)","42.3861788,",42.3861788,-71.12089606,Neighborhood Nine,
3238,Addie,Beagle Lab Mix,"(42.3857344, -71.12948059)","42.3857344,",42.3857344,-71.12948059,Neighborhood Nine,
2748,Max,Tibetan Terrier,"(42.3854622, -71.13434132)","42.3854622,",42.3854622,-71.13434132,Neighborhood Nine,
2758,Doodle Stanley,Dachshund,"(42.3854161, -71.11622256)","42.3854161,",42.3854161,-71.11622256,Agassiz,
789,Dkoda,Mix,"(42.3852089, -71.13842066)","42.3852089,",42.3852089,-71.13842066,West Cambridge,
4845,Dutch,Hound,"(42.3851725, -71.13041204)","42.3851725,",42.3851725,-71.13041204,Neighborhood Nine,
2696,Barkley,Labrador Retriever,"(42.3850183, -71.12473724)","42.3850183,",42.3850183,-71.12473724,Neighborhood Nine,
1307,Truman,English Spriner Spaniel,"(42.3849856, -71.12175445)","42.3849856,",42.3849856,-71.12175445,Neighborhood Nine,
3085,Blackjack,Cockerpoo,"(42.3849616, -71.13582464)","42.3849616,",42.3849616,-71.13582464,Neighborhood Nine,
4076,Callie,Sato,"(42.3848268, -71.12939576)","42.3848268,",42.3848268,-71.12939576,Neighborhood Nine,
1129,Finnegan,Shep/Lab,"(42.3848032, -71.12081383)","42.3848032,",42.3848032,-71.12081383,Neighborhood Nine,
3107,Whizzby,Whippet,"(42.3844889, -71.14204455)","42.3844889,",42.3844889,-71.14204455,West Cambridge,
4650,Bronx,Labrador Retriever Mix,"(42.3844265, -71.14090103)","42.3844265,",42.3844265,-71.14090103,West Cambridge,
4227,Moxie,Shih Tzu,"(42.3843799, -71.13691794)","42.3843799,",42.3843799,-71.13691794,West Cambridge,
5028,Copper,Beagle Mix,"(42.3843769, -71.14264117)","42.3843769,",42.3843769,-71.14264117,West Cambridge,
4278,Cosmo,Labrador Retriever,"(42.3842826, -71.12353591)","42.3842826,",42.3842826,-71.12353591,Neighborhood Nine,
1720,Maizie,Golden Retriever,"(42.3840148, -71.13048253)","42.3840148,",42.3840148,-71.13048253,Neighborhood Nine,
3399,Schnapps,Schnauzer,"(42.3839098, -71.13316479)","42.3839098,",42.3839098,-71.13316479,Neighborhood Nine,
3263,Elke,Miniature Schnauzer,"(42.3838638, -71.1377128)","42.3838638,",42.3838638,-71.1377128,West Cambridge,
207,Isabelle,Beagle Mix,"(42.3838192, -71.11392529)","42.3838192,",42.3838192,-71.11392529,Agassiz,
2849,Oliver,Golden Retriever,"(42.3837363, -71.12058362)","42.3837363,",42.3837363,-71.12058362,Neighborhood Nine,
4750,Portia,Plott Hound,"(42.3836817, -71.14066875)","42.3836817,",42.3836817,-71.14066875,West Cambridge,
4162,Bailey,Shep,"(42.3836127, -71.13703004)","42.3836127,",42.3836127,-71.13703004,West Cambridge,
756,Charlie,Schnauzer,"(42.3835817, -71.1148118)","42.3835817,",42.3835817,-71.1148118,Agassiz,
201,Emla,Golden Doodle,"(42.3835541, -71.13070252)","42.3835541,",42.3835541,-71.13070252,Neighborhood Nine,
2844,Brown Boy,,"(42.3834995, -71.13705809)","42.3834995,",42.3834995,-71.13705809,West Cambridge,
226,Ariel,Basenji,"(42.3834312, -71.13406683)","42.3834312,",42.3834312,-71.13406683,West Cambridge,
4517,Sebastian,Cavalier King Charles Spaniel,"(42.3834119, -71.1353127)","42.3834119,",42.3834119,-71.1353127,Neighborhood Nine,
4212,Eve,Australian Shepherd,"(42.3832603, -71.13604454)","42.3832603,",42.3832603,-71.13604454,West Cambridge,
3831,Paddington,Labrador Retriever,"(42.3832493, -71.14322184)","42.3832493,",42.3832493,-71.14322184,West Cambridge,
